Name,Brand,cluster,Notes
Nocturnal,PRIN,3,"['Violet', 'champaca', 'rosewood', 'beeswax', 'frankincense', 'myrrh', 'coffee bean', 'rose', 'tobacco', 'hay', 'jasmine', 'leather', 'castoreum', 'hyrax', 'civet', 'musk', 'oud', 'turmeric', 'cumin']"
Homa,PRIN,3,"['Cinnamon', 'ginger', 'black pepper', 'cardamom', 'cassia', 'cumin', 'turmeric', 'caraway', 'nutmeg', 'clove', 'saffron', 'hay', 'kaffir lime', 'oud', 'galbanum', 'ghee butter', 'jasmine', 'champaca', 'tuberose', 'beeswax', 'incense', 'myrrh', 'spikenard', 'costus', 'benzoin', 'ash', 'goat hair tincture', 'oud', 'mushroom', 'civet', 'hyrax']"
Koala,Zoologist,3,"['Eucalyptus', 'menthol honey gumdrops', 'mimosa', 'black tea', 'geranium', 'incense', 'spices', 'vetiver', 'musk', 'amber', 'oakmoss', 'vanilla', 'sandalwood']"
L'Homme A La Rose,Maison Francis Kurkdjian,1,"['Grapefruit', 'Damascene rose', 'amber woods accord', 'sage', 'Centifolia rose', 'labdanum']"
Rozu,Aesop,1,"['Rose', 'shiso', 'guaiac']"
Champs Lunaires,Rogue Perfumery,1,"['Tuberose', 'White Rose Petals', 'Pomelo', 'Sandalwood', 'Coconut Milk', 'Musk']"
Prends-Moi,Isabey,1,"['Bergamot', 'pink pepper', 'raspberry', 'rose', 'red satin lipstick', 'tuberose', 'cardamom', 'iris', 'cocoa', 'sandalwood', 'amber']"
Eau de Cuisine,Hilde Soliani,5,"['ocean', 'apricot', 'almond', 'fresh dairy', 'aromatic herbs', 'spices']"
Disobbedienza,Hilde Soliani,3,"['black rose', 'ash', 'champagne']"
Vanille de Tahiti,Perris Monte Carlo,2,"['Absolute of Ylang Ylang', 'Absolute of Champaca', 'Vanilla of Tahiti CO2', 'Amber', 'Sandalwood', 'Musk']"
Gris Charnel,BDK Parfums,3,"['Fig', 'Black tea', 'Cardamom essence', 'Absolute of iris', 'Bourbon', 'vetiver', 'Sandalwood from India', 'Absolute of Tonka bean']"
Milk Musk,Molton Brown,1,"['pear', 'peach', 'musk', 'ambroxan', 'vanilla', 'white cedarwood', 'tonka bean']"
Blackberry Woods,Shay & Blue,3,"['Blackberry', 'neroli', 'lemon leaves', 'cypress']"
Lavande Romaine,Perris Monte Carlo,3,"['Lavender fine', 'Bleu Cedar', 'Cassis bourgeons', 'White Musk']"
Celestial,Electimuss,3,"['Saffron', 'raspberry', 'black pepper', 'olibanum', 'Indian rose absolut', 'Bulgarian rose', 'pepper', 'cedar', 'Paraguan guaiac wood', 'tonka']"
Puritas,Electimuss,3,"['Elemi', 'pink pepper', 'absinthe', 'olibanum', 'rose', 'Indian tuberose absolut', 'geranium', 'labdanum', 'patchouli', 'tonka and amber']"
Thurible,Rook Perfumes,3,"['clove', 'ash', 'sage', 'black pepper', 'labdanum', 'incense', 'rose', 'patchouli', 'leather', 'ambergris and moss']"
Suede,Rook Perfumes,3,"['suede', 'tobacco leaf', 'leather']"
Amber,Rook Perfumes,5,"['saffron', 'smoke', 'incense', 'amber', 'maple', 'black musk', 'tonka bean and resins']"
Interlude Black Iris,Amouage,3,"['Bergamot', 'rosemary', 'violet leaves', 'orris', 'amber', 'frankincense', 'cistus', 'myrrh', 'vanilla', 'leather', 'agarwood smoke', 'patchouli', 'sandalwood', 'cedar']"
Escale En Haiti,Les Indemodables,3,"['Pink pepper', 'juniper', 'Haitian vetiver', 'tonka bean', 'myrhh']"
Escale En Indonesie,Les Indemodables,3,"['Bergamot', 'lemon', 'neroli', 'Indonesian ambergris', 'jasmine', 'sandalwood']"
Zeste de Gingembre,HEELEY,3,"['Lemon', 'lime', 'orange zest', 'fresh ginger', 'pink pepper', 'cardamom']"
Haute Provence,Parle Moi de Parfum,3,"['lavender', 'melon', 'watermelon', 'narcissus']"
Escentric 05 - Travel Spray,Escentric Molecules,3,"['Fig', 'bergamot', 'orange', 'laurel', 'rosemary', 'juniper', 'basil', 'hedione', 'cypress', 'freesia', 'iris', 'jasmine', 'cashmeran', 'cistus labdanum', 'musc', 'ambroxan', 'mastic', 'iso e super']"
1979 New Wave,Les Bains Guerbois,3,"['Peppermint', 'Spearmint', 'Aldehydes', 'Orris Concrete', 'Virginia Cedar', 'Australian Sandalwood', 'Musk', 'Amber Wood']"
2018 Roxo Tonic,Les Bains Guerbois,3,"['Calabrian Bergamot', 'Calabrian Lemon', 'Ginger', 'French Gentian', 'Tunisian Neroli', 'Tea', 'Haitian Vetiver', 'Ambroxan', 'Musk']"
Sel d'Argent,BDK Parfums,2,"['Italian Bergamot', 'Grapefruit', 'Salt accord', 'Orange Blossom Absolute from Tunisia', 'Ylang-Ylang Essence from Madagascar', 'Galbanum Essence from Iran', 'Ambroxan', 'Cashmeran', 'Timbersilk', 'White Musk']"
Citrus Riviera,BDK Parfums,3,"['Moroccan Neroli', 'Italian Mandarin', 'Italian Lemon', 'Fig', 'Moroccan Orange Blossom Absolute Jasmine', 'Strawberry', 'Eucalyptus', 'Everlasting Flower Absolute', 'Patchouli from Indonesia', 'Vetiver from Haiti', 'Tonka Bean Absolute']"
Smoke Show,Vilhelm Parfumerie,3,"['pink pepper', 'saffron', 'rose oil', 'leather', 'vetiver', 'cedarwood', 'agarwood']"
Do Not Disturb,Vilhelm Parfumerie,1,"['pink pepper', 'carrot', 'iris', 'jasmine petals', 'ambroxan', 'patchouli', 'white musks']"
Room Service,Vilhelm Parfumerie,3,"['mandarin nectar', 'blackberry', 'pink orchid', 'bamboo', 'violet', 'black amber', 'musk', 'sandalwood']"
Purple Fig,Vilhelm Parfumerie,3,"['sichuan pepper', 'angelica seeds', 'galbanum', 'green fig', 'jasmine absolute', 'vetiver', 'cashmere woods']"
Basilico & Fellini,Vilhelm Parfumerie,3,"['dragon fruit', 'basil', 'violet', 'wild fig', 'vetiver', 'green hay']"
Poets of Berlin,Vilhelm Parfumerie,3,"['blueberry', 'lemon', 'vanilla', 'green wild orris', 'sandalwood', 'vetiver']"
Morning Chess,Vilhelm Parfumerie,3,"['bergamot', 'Tuscan leather', 'galbanum', 'patchouli', 'black amber']"
Mango Skin,Vilhelm Parfumerie,5,"['blackberries', 'mango', 'black pepper', 'wild orris', 'black lotus', 'jasmine', 'patchouli', 'vanilla', 'pink sugar']"
Dear Polly,Vilhelm Parfumerie,3,"['bergamot', 'apple', 'ceylon black tea', 'oakmoss', 'musk', 'black amber']"
Black Citrus,Vilhelm Parfumerie,3,"['cardamom', 'calabria bergamot', 'mate leaves', 'violet', 'birch', 'Indonesian patchouli']"
Lil Fleur,BYREDO,5,"['Saffron', 'cassis', 'tangerine', 'leather', 'Damascena rose', 'amber', 'blonde woods', 'vanilla']"
Kurokami,Di Ser,1,"['Grapefruit', 'Rose absolute', 'Rose otto', 'Jasmine grandiflorum', 'Rosewood', 'Sandalwood', 'Frankincense']"
Bouquet de Hongrie,BDK Parfums,1,"['Pear', 'Blackcurrant', 'Strawberry', 'Rose of Turkey', 'Sambac jasmine', 'Lorenox', 'Musk', 'Cedar', 'Amber']"
Undergrowth,Rook Perfumes,3,"['Soil', 'garden mint', 'grass', 'green notes', 'mandarin', 'orris', 'vetiver', 'patchouli', 'white musk']"
Rook,Rook Perfumes,3,"['Birch tar', 'tobacco', 'castoreum', 'cardamom', 'ginger', 'civet', 'agarwood', 'incense', 'ambrette', 'ambergris', 'guaiac wood', 'musk']"
Forest,Rook Perfumes,3,"['Cypress', 'pine', 'black pepper', 'incense', 'green notes', 'patchouli', 'cedar', 'white musk']"
Hapyang,"Pierre Guillaume Paris, Parfumerie Generale",2,"['Powder & Aldehyde Mist', 'Magnolia', 'Ylang-Ylang', 'Peartree', 'Benzoin', 'Vanilla']"
Young Hearts,Bruno Acampora,3,"['Bergamot', 'galbanum', 'birch leaf', 'pine', 'saffron', 'jasmine', 'fir balsam', 'rose', 'oakmoss', 'patchouli', 'musk', 'amber']"
Eau de Yuzu,PARFUMS DE NICOLAI,3,"['Yuzu', 'lemon leaf', 'juniper', 'grapefruit', 'gaiac', 'patchouli']"
Creme de Cuir,BDK Parfums,1,"['Mandarin', 'Bergamot', 'Pineapple', 'Pink berries', 'White suede', 'Sandalwood', 'Vanilla', 'Birch oil', 'White musk', 'Grey musk']"
Tabac Rose,BDK Parfums,5,"['Pink pepper from Madagascar', 'Plum accord', 'Lemon from Italy', 'Rose from Turkey', 'Cinnamon from Madagascar', 'Chocolate accord', 'Tobacco absolute from the Balkans', 'Patchouli oil from Indonesia', 'Labdanum resin from Spain']"
French Bouquet,BDK Parfums,1,"['Aldehyde C12', 'Coriander', 'Bergamot from Italy', 'Rose from Morocco', 'Jasmine from India', 'Orange blossom from Tunisia', 'Labdanum from Spain', 'Tobacco from Cuba', 'Vetiver from Haiti', 'Patchouli from Indonesia', 'Violet', 'Sandalwood', 'Tonka bean']"
Oud Abramad,BDK Parfums,3,"['Safran', 'Ginger', 'Rose of Turkey', 'Cumin', 'Agarwood', 'Guaiac wood', 'Rockrose', 'Incense', 'Patchouli', 'Castoreum', 'Orcanox']"
Rouge Smoking,BDK Parfums,5,"['Bergamot from Italy', 'Cherry accord', 'Pink berries', 'Black vanilla', 'Heliotrope', 'Ambroxan', 'Cashmeran', 'Tonka bean', 'Labdanum', 'White musk']"
Tubereuse Imperiale,BDK Parfums,2,"['Pink peppercorn', 'Geranium of Egypt', 'Tuberose of India', 'Ylang Ylang of Comoros', 'Sambac Jasmine', 'Iris', 'Jasmine of Egypt', 'Cashmeran', 'Sandalwood', 'Incense of Somalia', 'Vanilla of Madagascar', 'Patchouli of Singapore', 'Benzoin of Sumatra', 'Cypress']"
Nuit de Sable,BDK Parfums,1,"['Cardamom', 'Nutmeg', 'Cumin', 'Absolute of rose', 'Rose oxide', 'Hot sand accord', 'Sandalwood', 'Absolute of Tonka bean', 'Ambroxan', 'Musk']"
Wood Jasmin,BDK Parfums,1,"['Plum', 'Pear', 'Jasmine of Egypt', 'Sambac Jasmine', 'Rose of Turkey', 'Dhavanam', 'Incense of Somalia', 'Vanilla of Madagascar', 'Patchouli of Indonesia', 'Labdanum of Spain', 'Cypriol Nagarmotha of India']"
Pas Ce Soir,BDK Parfums,3,"['Black pepper', 'Ginger', 'Mandarin', 'Moroccan jasmine', 'Quince chutney', 'Orange blossom', 'Cashmeran', 'Patchouli of Singapore', 'Amber wood']"
Dolceacqua,Masque Milano,2,"['Coastal Breeze accord', 'Muguet', 'Ivy Leaves', 'Mediterranean Marjoram', 'Mimosa', 'Almond Flower', 'White Rose', 'Ylang-Ylang Nosy Be', 'Saffron Flower', 'Cedarwood Virginia', 'Benjoin Siam', 'Oakmoss', 'Silky Musks']"
Black Beard,CALAJ Perfumes,3,"['Orange', 'bergamot', 'petitgrain', 'artemisia', 'basil', 'bulgarian lavender', 'geranium', 'rose', 'carnation', 'tonka bean', 'patchouli', 'moss', 'musk', 'leather', 'tabacco', 'amber']"
Transilvania,CALAJ Perfumes,5,"['Black Cherry', 'Rose oxyde', 'angelica', 'Jasmine', 'tuberose', 'immortelle', 'honey', 'Coumarin', 'opoponax', 'civet', 'musk', 'patchouli', 'vanilla', 'oud']"
Love Toxin,CALAJ Perfumes,1,"['Bergamot', 'coriander', 'plum', 'coconut', 'strawberry', 'rose oxyde', 'Cumin', 'rose', 'tuberose', 'jasmin', 'heliotrope', 'gardenia', 'iris', 'Peach', 'oakmoss', 'vanilla', 'hay', 'castoreum', 'opoponax', 'musk', 'leather']"
Oshun,CALAJ Perfumes,3,"['Lemon', 'cinnamon', 'black pepper', 'pine', 'black currant', 'Rose', 'jasmine', 'magnolia', 'cloves', 'Amber', 'castoreum', 'peru balsam', 'tonka bean', 'tobacco.']"
Isra & Miraj,Stephane Humbert Lucas 777,5,"['Bergamot', 'Tangerine', 'Nutmeg', 'Ceylan', 'Cinnamon', 'Heliotrope', 'Osmanthus absolute', 'Vanilla', 'Santal de Mysore', 'Amber', 'Patchouli', 'White Musk', 'Leather', 'Natural Oud']"
Petits Papiers,Mad et Len,3,"['Paper', 'benzoin', 'gaiac', 'patchouli', 'copaiva balsam', 'resins']"
La Danza delle Libellule,Nobile 1942,5,"['Bergamot', 'red apple', 'cedar', 'cinnamon', 'musk', 'vanilla and coconut.']"
Magnolia Grandiflora - Michel,Grandiflora,2,"['Lemon', 'bergamot', 'grapefruit', 'jasmine', 'ylang-ylang', 'rose', 'magnolia', 'vetiver', 'patchouli and musk']"
Bell'Antonio,Hilde Soliani,5,['tobacco and coffee']
Golden Moka,Xerjoff,4,"['Blood orange', 'mandarin', 'lemon', 'coffee absolute', 'rose absoute', 'incense', 'Cambodian oud', 'amber', 'labdanum', 'green accord']"
Oud Stars,Xerjoff,4,"['Brasilian orange', 'strawberry', 'pink pepper', 'freesia', 'Bulgarian rose', 'muguet', 'peony', 'vanilla', 'oud blend', 'agarwood', 'musk']"
Fatal Charme,Xerjoff - Join the Club,3,"['lemony', 'fruity', 'musk', 'iris', 'cream soda']"
Mad About You,Pierre Guillaume Paris Black Collection,3,"['Black tea', 'licorice', 'red fruits', 'lipstick', 'violet', 'leather']"
Anti-Blues,Pierre Guillaume Paris Black Collection,5,"['Dark chocolate', 'saffron', 'grapefruit', 'incense', 'resin', 'amyris', 'cacao wood', 'hay', 'tobacco', 'vetiver', 'leather', 'vanilla']"
Tahiti,Farmacia SS. Annunziata dal 1561,2,"['Bergamot', 'Key Lime', 'Sage', 'Rosemary', 'Tahitian Vanilla', 'Jasmine', 'Neroli', 'Mimosa', 'Ylang Ylang', 'Patchouly', 'Sandalwood', 'Vetiver']"
Fuyu,Tom Daxon,1,"['White peach', 'jasmine', 'iris', 'soft musks', 'cedar']"
Perfumista,Anatole Lebreton,1,"['Pear', 'plum', 'raspberry', 'jasmine', 'rose', 'cedar', 'peru balsam', 'musk', 'Mousse de Saxe accord']"
Douleur!,Bogue Profumo,3,"['Mint', 'cotton candy', 'seaweed', 'benzoin', 'melon', 'metallic notes', 'rose']"
Ambre Stone,Anthologie de Grands Crus,3,"['Ambergris infusion', 'Indonesian Patchouli oil', 'Egyptian Jasmine absolute late crop', 'Moroccan Neroli oil', 'Indian Sandalwood oil', 'Italian Bergamot oil late crop']"
Vanille d'Amine,Anthologie de Grands Crus,5,"['Madagascan vanilla ol̩or̩sin', 'Somalian Olibanum', 'Madagascan Clove bud oil']"
Bergamote de G. Franco,Anthologie de Grands Crus,3,"['Italian Bergamot oil Grand Cru', 'Moroccan Mimosa absolute', 'Chinese Osmanthus alcoolat Grand Cru', 'Kashmirin Saffron']"
Vetiver de Pierre,Anthologie de Grands Crus,3,"['Haitian Vetiver oil special Grand Cru', 'Venezuelan Tonka absolute', 'Ivory Coast Cacao absolute', 'Turkish blond tobacco']"
Jasmin de Cherifa,Anthologie de Grands Crus,1,"['Egyptian Jasmine absolute Grand Cru', ""Egyptian Rose absolute centifolia Grand Cru (also from Cherifa's fields)"", 'Indian Sandalwood Grand Cru']"
I,Bogue Profumo,2,"['Ylang ylang', 'grapefruit', 'jasmine', 'rose', 'tonka', 'violet leaf', 'vanilla', 'benzoin', 'cedar']"
New York,Widian,3,"['Bergamot', 'mandarin', 'lemon', 'pink pepper', 'lavender', 'coriander', 'juniper', 'geranium', 'orris', 'rose', 'akigala', 'jasmine', 'patchouli', 'caramel', 'vetiver', 'cypriol', 'white musk', 'white amber', 'vanilla', 'ambergris', 'olibanum', 'tonka', 'tobacco']"
Gold II,Widian,5,"['Saffron', 'orange', 'elemi', 'rose', 'orange blossom', 'amber', 'musk', 'cedar', 'vanilla']"
Bengale Rouge,Papillon Artisan Perfumes,5,"['Turkish rose', 'orris', 'sandalwood', 'sweet myrrh (opoponax)', 'oakmoss', 'honey', 'vanilla', 'tonka bean', 'benzoin', 'labdanum']"
Avatar,Hilde Soliani,5,"['Caramel', 'sugar', 'milk', 'biscuits']"
Midnight Saffron,Tom Daxon,3,"['Saffron', 'lavender', 'jasmine', 'suede', 'amber woods']"
Dolls,Moth and Rabbit,2,"['Cherry blossom', 'geranium', 'davana', 'orange blossom', 'ylang ylang', 'apple blossom', 'rose', 'sweet maple accord', 'musk', 'snow flake accord', 'ambergris', 'cedar', 'animalic notes.']"
Opale,Omnia Profumo,1,"['Jasmine', 'lilac', 'hawthorne', 'geranium', 'seaweed', 'white musk', 'patchouli', 'cedar', 'vanilla', 'tonka']"
Poudrextase,Marlou,1,"['Rice powder', 'dried rose', 'cypress', 'civet', 'musks']"
Single Man,Moth and Rabbit,3,"['Cardamom', 'Ginger Oil', 'Red Pepper', 'Winter Lemon Oil', 'Nutmeg', 'Rose', 'Elemi Oil', 'Violet Wood', 'Cashmere Wood', 'Oakmoss', 'Amber', 'Patchouli', 'Mahogany', 'Cedar.']"
Whisky,Farmacia SS. Annunziata dal 1561,4,"['Labdanum', 'incense', 'whisky', 'saffron', 'suede', 'oud', 'cedar', 'vetiver', 'amber', 'musk']"
Limited 71 Intense,Widian,3,"['Bergamot', 'Sage', 'Lavender', 'Bays', 'Dry Amber', 'Akigalawood', 'Cashmeran', 'Oudwood', 'Patchouli', 'Amber', 'Vetiver']"
Lambrosc,Hilde Soliani,5,"['Sweet red fruits', 'red wine']"
Donna Sentenza,Hilde Soliani,5,"['Banana', 'cream', 'vanilla']"
Manteuse,Stephane Humbert Lucas 777,5,"['Bergamot', 'white flowers', 'leather', 'honey', 'iris', 'labdanum', 'sandalwood', 'smoked vanilla', 'shangrilade musk', 'oppoponax']"
Against Nature,Timothy Han Edition Perfumes,2,"['Pink pepper', 'lemon', 'juniper', 'green notes', 'metal', 'jasmine', 'ylang ylang', 'lacquer', 'musk', 'vetiver', 'sandalwood', 'amber', 'patchouli']"
Cornaline,Anatole Lebreton,2,"['Carrot root', 'geranium', 'orris', 'ylang ylang', 'peach', 'red berries', 'green notes', 'mirabilis', 'musk', 'vanilla']"
Bluebijou,Piotr Czarnecki,5,"['Violet', 'blueberry', 'cacao', 'truffle', 'tobacco', 'dark chocolate', 'cognac', 'oud', 'cashmeran', 'musk', 'amber']"
Kiviskin,Piotr Czarnecki,3,"['Saffron', 'nutmeg', 'pimento', 'violet', 'tobacco', 'dark chocolate', 'benzoin', 'cedar', 'leather']"
Venom of Angel,Piotr Czarnecki,5,"['Coconut', 'olibanum', 'black pepper', 'aloe vera', 'sugar cane', 'rum', 'ivy', 'cedar', 'white chocolate']"
Hili,Widian,2,"['Bergamot', 'pink pepper', 'coriander', 'cinnamon', 'jasmine', 'tuberose', 'ylang ylang', 'tiare', 'amber', 'vanilla', 'coconut milk', 'sandalwood', 'patchouli', 'cedar', 'tobacco leaf']"
Niral,Neela Vermeire Creations,3,"['Iris', 'pink pepper', 'tea', 'Turkish rose', 'green wine lees', 'cabreuva', 'angelica seed', 'ambrette seed', 'cardamom', 'leather', 'magnolia', 'jasmine', 'sandalwood', 'cedar']"
London,Widian,3,"['Oud', 'cypress', 'violet', 'lily of the valley', 'raspberry', 'leather', 'dry amber', 'musk', 'vanilla']"
Buonissimo,Hilde Soliani,5,"['vanilla', 'cream', 'cappuccino']"
Boronia,Grandiflora,3,"['Boronia', 'green notes', 'apricot', 'woods', 'resins', 'cognac', 'floral notes', 'black tea', 'tobacco', 'suede', 'caramel']"
Ambilux (formerly 50ml d'Ambiguite),Marlou,3,"['Pink peppercorn', 'cumin', 'incense', 'ylang', 'dune plants', 'castoreum', 'costus']"
Grimoire,Anatole Lebreton,3,"['Bergamot', 'basil', 'lavender', 'elemi', 'olibanum', 'Atlas cedar', 'cumin', 'patchouli', 'moss', 'muscs']"
The Decay Of The Angel,Timothy Han Edition Perfumes,2,"['Mandarin', 'neroli', 'rose', 'ylang-ylang', 'frankincense', 'sambac jasmine', 'acacia', 'cade', 'oud', 'cedarwood', 'patchouli', 'tonka', 'labdanum']"
Dryad,Papillon Artisan Perfumes,3,"['cedrat', 'bigaradier orange', 'bergamot', 'narcissus', 'oakmoss', 'jonquil', 'clary sage', 'orange blossom', 'lavender', 'orris', 'vetiver', 'thyme', 'galbanum', 'costus', 'tarragon', 'apricot', 'benzoin', 'peru balsam', 'styrax']"
L'homme Accompli,Divine,3,"['Amber', 'leather', 'vetiver', 'guaiac wood', 'styrax', 'atlas cedar', 'violet', 'lemon', 'bergamot']"
White Madera,Omnia Profumo,5,"['Vanilla', 'citrus', 'peach blossom', 'floral notes', 'cinnamon', 'star anise', 'tobacco blossom', 'coconut', 'white musk', 'cedar']"
Cactus Azul,Fueguia 1833,3,"['Cactus flower', 'cedarwood', 'nanah mint']"
Chamber,Fueguia 1833,3,"['Aquatic plants', 'Spanish moss', 'Mate']"
Jacaranda,Fueguia 1833,3,"['Rosewood', 'Mahogany', 'Spruce']"
Muskara Phero J,Fueguia 1833,3,"['musks ""from the pheromone family""']"
Quilombo,Fueguia 1833,5,"['Vanilla', 'Pampa Milk', 'Cane Sugar']"
Thays,Fueguia 1833,3,"['Mate flowers', 'Osmanthus', 'Green tea']"
La Cautiva,Fueguia 1833,5,"['Musk', 'blackcurrant', 'vanilla']"
Biblioteca de Babel,Fueguia 1833,3,"['Cedar', 'cabreuva (woody note)', 'cinnamon']"
Panthea,Stephane Humbert Lucas 777,1,"['Bergamot', 'pink pepper', 'tangerine', 'elemi', 'white tea', 'carrot', 'iris', 'jasmine', 'violet', 'carnation', 'white musk', 'tobacco flower', 'tonka', 'sandalwood', 'patchouli']"
Wish Come True,Stephane Humbert Lucas 777,2,"['Tangerine', 'bergamot', 'ylang-ylang', 'labdanum', 'incense', 'jasmine', 'ambergris', 'tuberose', 'vanilla', 'musk']"
MEM,Bogue Profumo,2,"['Petitgrain', 'mandarin', 'grapefruit', 'lavender (4 different species)', 'ylang ylang', 'lily of the valley', 'white champaca', 'jasmine grandiflorum', 'rose damascena', 'bourbon geranium', 'vanilla', 'peppermint', 'laurel', 'Siam benzoin', 'rosewood', 'sandalwood', 'Himalayan cedarwood', 'labdanum', 'ambergris', 'musk', 'castoreum', 'civet', 'amber']"
Delma,Widian,3,"['Mandarin', 'peach', 'bergamot', 'heliotrope', 'jasmine', 'freesia', 'geranium', 'nutmeg', 'patchouli', 'saffron', 'leather', 'woody notes', 'marshmallow']"
Liwa,Widian,3,"['Jasmine', 'saffron', 'bergamot', 'artemisia', 'amber', 'white rose', 'geranium', 'cedar', 'patchouli', 'sandalwood', 'incense']"
Aqaysos,Pierre Guillaume Paris Black Collection,3,"['Lime', 'coriander', 'blackcurrant', 'sansho berry', 'woods', 'musks', 'cocoa beans']"
Il Tempo delle Mele,Hilde Soliani,5,"['Milk', 'apple', 'vanilla']"
Hot Milk,Hilde Soliani,5,"['Milk', 'hot pepper']"
Carnicure (formerly L'animal sauvage),Marlou,5,"['Orange blossom', 'violet', 'sandalwood', 'patchouli', 'civet', 'vanilla', 'sandalwood', 'musk', 'ambergris', 'labdanum']"
Passion,M. Micallef,5,"['Orange', 'cinnamon', 'cashmeran', 'caramel', 'benzoin', 'sandalwood', 'musk', 'patchouli', 'oud']"
Rahele,Neela Vermeire Creations,3,"['Green mandarin', 'cardamom', 'cinnamon', 'violet leaf', 'osmanthus', 'rose', 'magnolia', 'jasmin', 'iris', 'violet', 'cedar', 'sandalwood', 'oakmoss', 'patchouli', 'leather']"
Sweet Parmesan Violet,Hilde Soliani,5,"['Violet', 'sugar']"
Una Tira l'Altra,Hilde Soliani,5,['Cherry']
Oud Orange Intense,Fragrance du Bois,4,"['Coconut', 'fruits', 'bourbon vanilla', 'oud', 'musk']"
Oud Noir Intense,Fragrance du Bois,4,"['bergamot', 'cardamom', 'rose', 'jasmine', 'sandalwood', 'saffron', 'patchouli', 'vanilla', 'musk', 'amber', 'pure agarwood (oud)']"
Sahraa Oud,Fragrance du Bois,4,"['rose', 'geranium', 'jasmine', 'moss', 'patchouli', 'sandalwood', 'saffron', 'vanilla', 'amber', 'pure oud']"
London Oud,Fragrance du Bois,4,"['lemon', 'bergamot', 'mint', 'lavender', 'jasmine', 'white flowers', 'marine notes', 'patchouli', 'cedar', 'nutmeg', 'cardamom', 'pure agarwood (oud)']"
Oud Jaune Intense,Fragrance du Bois,2,"['Tahitian gardenia', 'ylang-ylang', 'pineapple', 'jasmine', 'orange blossom', 'oud', 'vanilla', 'lactones', 'musk']"
Oud Bleu Intense,Fragrance du Bois,4,"['Cardamom', 'nutmeg', 'mandarin', 'frankincense', 'labdanum', 'myrrh oil', 'amber', 'pure oud oil', 'sweet myrrh', 'styrax', 'benzoin', 'myrrh resin']"
Oud Rouge Intense,Fragrance du Bois,4,"['Pink pepper', 'lemon', 'cedar', 'patchouli', 'sandalwood', 'oud']"
Verde di,Farmacia SS. Annunziata dal 1561,3,"['Orange', 'lemon', 'cassis', 'green apple', 'davana', 'pistachio flower', 'rose', 'apricot', 'osmanthus', 'patchouli', 'rosewood', 'amber woods', 'musk']"
20 Years,M. Micallef,5,"['Bergamot', 'nutmeg', 'exotic fruit', 'white rose', 'davana', 'orange flower', 'jasmine', 'geranium', 'patchouli', 'caramel', 'vanilla', 'precious wood', 'white musk']"
Gold,Widian,4,"['Apple', 'pepper', 'white flowers', 'oud', 'vanilla', 'musk', 'sandalwood', 'amber']"
Queen Of The Night,Grandiflora,2,"['Citrus', 'berries', 'clove', 'orange blossom', 'jasmine sambac', 'ylang ylang', 'tuberose', 'gardenia', 'pittosporum', 'wisteria', 'mimosa', 'vanilla', 'musk']"
Cafe,Nobile 1942,5,"['Black cherry', 'laurel', 'anise', 'heliotrope', 'altea', 'iris', 'benzoin', 'vanilla', 'patchouli', 'musk']"
